what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1452255777911
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1452255778146
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452255782446
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452255959574
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1452255976673
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452255979376
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452255989227
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1452255990596
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1452255991106
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452255992022
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452255994476
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452256000550
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452256027892
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1452256054215
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452256055653
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452256079450
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452256233555
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452256322430
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452256324128
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452256325510
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.0.v201006082045,"org.eclipse.wst.jsdt.debug.core",1452256325614
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452256326787
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1452329506520
started,bundle,org.eclipse.osgi,3.6.0.v20100517,"org.eclipse.osgi",1452329506522
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1452329506524
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1452329506526
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1452329506528
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1452329506530
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1452329506532
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1452329506533
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1452329506536
started,bundle,org.eclipse.core.filesystem,1.3.0.v20100526-0737,"org.eclipse.core.filesystem",1452329506540
started,bundle,org.eclipse.core.jobs,3.5.0.v20100515,"org.eclipse.core.jobs",1452329506541
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1452329506543
started,bundle,org.eclipse.core.resources,3.6.0.v20100526-0737,"org.eclipse.core.resources",1452329506546
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1452329506547
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1452329506554
